ECC,Perr,Pfail,Wordsize
CRC3,0.1,0.01808,32 
CRC3,0.2,0.06997,32 
CRC3,0.3,0.15237,32 
CRC3,0.4,0.26219,32 
CRC3,0.5,0.39656,32 
CRC3,0.6,0.55283,32 
CRC3,0.7,0.72855,32 
CRC3,0.8,0.92143,32 
CRC3,0.9,1.12937,32 
CRC3,1.0,1.35041,32 
CRC3,1.1,1.58275,32 
CRC3,1.2,1.82474,32 
CRC3,1.3,2.07484,32 
CRC3,1.4,2.33163,32 
CRC3,1.5,2.59383,32 
CRC3,1.6,2.86023,32 
CRC3,1.7,3.12975,32 
CRC3,1.8,3.40139,32 
CRC3,1.9,3.67421,32 
CRC3,2.0,3.94740,32 
CRC3,2.1,4.22018,32 
CRC3,2.2,4.49186,32 
CRC3,2.3,4.76181,32 
CRC3,2.4,5.02946,32 
CRC3,2.5,5.29429,32 
CRC3,2.6,5.55584,32 
CRC3,2.7,5.81368,32 
CRC3,2.8,6.06745,32 
CRC3,2.9,6.31681,32 
CRC3,3.0,6.56146,32 
CRC3,3.1,6.80115,32 
CRC3,3.2,7.03564,32 
CRC3,3.3,7.26474,32 
CRC3,3.4,7.48826,32 
CRC3,3.5,7.70607,32 
CRC3,3.6,7.91804,32 
CRC3,3.7,8.12406,32 
CRC3,3.8,8.32406,32 
CRC3,3.9,8.51796,32 
CRC3,4.0,8.70572,32 
CRC3,4.1,8.88730,32 
CRC3,4.2,9.06267,32 
CRC3,4.3,9.23184,32 
CRC3,4.4,9.39481,32 
CRC4,0.1,0.00725,32 
CRC4,0.2,0.02803,32 
CRC4,0.3,0.06097,32 
CRC4,0.4,0.10484,32 
CRC4,0.5,0.15845,32 
CRC4,0.6,0.22073,32 
CRC4,0.7,0.29071,32 
CRC4,0.8,0.36746,32 
CRC4,0.9,0.45015,32 
CRC4,1.0,0.53800,32 
CRC4,1.1,0.63030,32 
CRC4,1.2,0.72641,32 
CRC4,1.3,0.82573,32 
CRC4,1.4,0.92770,32 
CRC4,1.5,1.03182,32 
CRC4,1.6,1.13764,32 
CRC4,1.7,1.24474,32 
CRC4,1.8,1.35273,32 
CRC4,1.9,1.46127,32 
CRC4,2.0,1.57003,32 
CRC4,2.1,1.67874,32 
CRC4,2.2,1.78712,32 
CRC4,2.3,1.89495,32 
CRC4,2.4,2.00200,32 
CRC4,2.5,2.10809,32 
CRC4,2.6,2.21304,32 
CRC4,2.7,2.31670,32 
CRC4,2.8,2.41892,32 
CRC4,2.9,2.51958,32 
CRC4,3.0,2.61858,32 
CRC4,3.1,2.71581,32 
CRC4,3.2,2.81119,32 
CRC4,3.3,2.90464,32 
CRC4,3.4,2.99609,32 
CRC4,3.5,3.08549,32 
CRC4,3.6,3.17279,32 
CRC4,3.7,3.25795,32 
CRC4,3.8,3.34093,32 
CRC4,3.9,3.42170,32 
CRC4,4.0,3.50025,32 
CRC4,4.1,3.57654,32 
CRC4,4.2,3.65057,32 
CRC5,0.1,0.00280,32 
CRC5,0.2,0.01081,32 
CRC5,0.3,0.02350,32 
CRC5,0.4,0.04038,32 
CRC5,0.5,0.06100,32 
CRC5,0.6,0.08494,32 
CRC5,0.7,0.11182,32 
CRC5,0.8,0.14130,32 
CRC5,0.9,0.17307,32 
CRC5,1.0,0.20683,32 
CRC5,1.1,0.24232,32 
CRC5,1.2,0.27930,32 
CRC5,1.3,0.31755,32 
CRC5,1.4,0.35686,32 
CRC5,1.5,0.39707,32 
CRC5,1.6,0.43800,32 
CRC5,1.7,0.47949,32 
CRC5,1.8,0.52143,32 
CRC5,1.9,0.56367,32 
CRC5,2.0,0.60612,32 
CRC5,2.1,0.64866,32 
CRC5,2.2,0.69120,32 
CRC5,2.3,0.73366,32 
CRC5,2.4,0.77597,32 
CRC5,2.5,0.81806,32 
CRC5,2.6,0.85986,32 
CRC5,2.7,0.90132,32 
CRC5,2.8,0.94239,32 
CRC5,2.9,0.98303,32 
CRC5,3.0,1.02318,32 
CRC5,3.1,1.06283,32 
CRC5,3.2,1.10192,32 
CRC5,3.3,1.14044,32 
CRC5,3.4,1.17835,32 
CRC5,3.5,1.21564,32 
CRC5,3.6,1.25228,32 
CRC5,3.7,1.28825,32 
CRC5,3.8,1.32353,32 
CRC5,3.9,1.35811,32 
CRC5,4.0,1.39197,32 
CRC5,4.1,1.42511,32 
CRC6,0.1,0.00068,32 
CRC6,0.2,0.00262,32 
CRC6,0.3,0.00570,32 
CRC6,0.4,0.00979,32 
CRC6,0.5,0.01480,32 
CRC6,0.6,0.02064,32 
CRC6,0.7,0.02721,32 
CRC6,0.8,0.03445,32 
CRC6,0.9,0.04230,32 
CRC6,1.0,0.05069,32 
CRC6,1.1,0.05957,32 
CRC6,1.2,0.06890,32 
CRC6,1.3,0.07863,32 
CRC6,1.4,0.08874,32 
CRC6,1.5,0.09918,32 
CRC6,1.6,0.10992,32 
CRC6,1.7,0.12095,32 
CRC6,1.8,0.13223,32 
CRC6,1.9,0.14375,32 
CRC6,2.0,0.15549,32 
